PolicyID,CustomerID,PolicyType,StartDate,EndDate,Premium
P1000,C101,Life,2021-04-09,2024-07-13,13748
P1001,C101,Health,2021-12-27,2024-05-22,27997
P1002,C106,Auto,2021-02-05,2024-08-20,27398
P1003,C101,Health,2021-01-24,2024-11-21,26234
P1004,C105,Life,2021-12-05,2024-07-05,7339
P1005,C105,Auto,2021-04-27,2024-03-24,24960
P1006,C109,Life,2021-05-29,2024-07-08,25806
P1007,C104,Life,2021-02-10,2024-06-30,10607
P1008,C100,Auto,2021-04-30,2024-04-17,22502
P1009,C107,Life,2021-02-21,2024-12-09,28892
